,n,beta,bleu 1,bleu 2,bleu 3,bleu 4
155,5,0.4,0.8318276580953219,0.7153635590528058,0.6058684911067541,0.5031481931339248
156,5,0.45,0.8317107093179196,0.7164927159711932,0.60790663004442,0.505867228818961
157,5,0.5,0.8314763231191982,0.7169486040430157,0.6093346942297382,0.5070150176176733
158,5,0.55,0.8358725761767065,0.7202125301716228,0.610971710972003,0.5078889100878821
159,5,0.6000000000000001,0.8351800554010836,0.718118820308384,0.6081663398117266,0.5048247777660212
160,5,0.65,0.8356449375861057,0.7188744131820589,0.6089479385826733,0.5055657907582778
161,5,0.7000000000000001,0.8356449375861057,0.7188744131820589,0.6089479385826733,0.5055657907582778
162,5,0.75,0.8358725761767065,0.7193150687262284,0.6092479812662327,0.5054980122920826
163,5,0.8,0.8353994490352373,0.7182400602838013,0.6076332051491611,0.5034828336117415
164,5,0.8500000000000001,0.8339052848312739,0.7157779934971121,0.6037538380204968,0.49913399040023787
165,5,0.9,0.8337912087906362,0.7146642552467631,0.6020849140080957,0.4973430931570215
166,5,0.9500000000000001,0.8364134154682844,0.717539669943291,0.605261717491347,0.5017577349777632
167,5,1.0,0.8373205741621071,0.7191573862961038,0.6074346625601805,0.5045906767420294
